text,label
we should attach more importance to cooperation during primary education,0
a more cooperative attitudes towards life is more profitable in one's success,0
"through cooperation, children can learn about interpersonal skills which are significant in the future life of all students",0
"What we acquired from team work is not only how to achieve the same goal with others but more importantly, how to get along with others",1
"During the process of cooperation, children can learn about how to listen to opinions of others, how to communicate with others, how to think comprehensively, and even how to compromise with other team members when conflicts occurred",1
All of these skills help them to get on well with other people and will benefit them for the whole life,1
competition makes the society more effective,0
the significance of competition is that how to become more excellence to gain the victory,1
"when we consider about the question that how to win the game, we always find that we need the cooperation",1
"Take Olympic games which is a form of competition for instance, it is hard to imagine how an athlete could win the game without the training of his or her coach, and the help of other professional staffs such as the people who take care of his diet, and those who are in charge of the medical care",1
"without the cooperation, there would be no victory of competition",0
they are able to sustain their cultural identities and doing so help they keep their origin values,0
sustaining the traditions will make the immigrated people keep their cultural identity and give them confident among the many culture society,0
maintaining one’s cultural identity is a key important rule to help individuals emerge in the new multicultural environments,1
sustaining the cultural values of immigrants is paramount essential,0
"Take Australia for example, immigrants from varieties of nations have a day called multicultural day where people from each country prepare their food and traditional activities for displaying in the public venues",1
"Many Australians come this day to enjoy the shows, learn about the cultures and admire the diverse values",1
"These feedbacks, in turn, help raise one’s pride of their cultures and help people understand each other more",1
it is crucial to keep one’s identity,1
they need a connection back to their country as well as teach their children their value of origin,1
keeping the cultural traditions in the destination countries is tremendous important,0
children immigrated to a new country will face social troubles in school with new friends,1
"In this new environment, parent should find friends coming from their same country so that they can socialize in a very familiar manner as feeling being home",1
"Fail to create this familiarity makes them felt isolated, in the extreme can lead to social disorder like autism",1
there are opposing ideas of neglecting one’s cultural values to adapt in the new cultures,0
it has contributed to the economic development as well as preserved the culture and environment of the tourist destinations,0
international tourism has both triggered economic development and maintained cultural and environment values of the tourist countries,0
tourism has clearly improved lives in the tourist country,0
international tourism promotes many aspects of the destination country’s economy in order to serve various demands of tourists,1
"Take Cambodia for example, a large number of visitors coming to visit the Angkowat ancient temple need services like restaurants, hotels, souvenir shops and other stores",1
These demands trigger related business in the surrounding settings which in turn create many jobs for local people improve infrastructure and living standard,1
"through tourism industry, many cultural values have been preserved and natural environments have been protected",1
tourism has survived many non-tangible cultural values and beauty scenes,0
"in Vietnam, many cultural costumes and natural scenes, namely ‘Trong Dong’ drum performance and ‘Ha Long’ bay, are being encouraged to preserve and funded by the tourism ministry",1
"Without this support and profit from tourism, many traditional cultures would disappear due to its low income works",1
newspapers have lost their competitive advantage to sustain their prolonged existence,0
the print media has failed to keep its important role in the provision of information,0
"to obtain information, using the internet is quicker and more convenient than reading newspapers",1
"Contrary to the past when people had to wait long hours to take a daily newspaper, nowadays, they can acquire latest news updated every second through their mobile phones or computers connected to the internet, everywhere and at anytime",1
"As can be seen, these devices and machines are very common in all parts of the world, making it easier for people to read a number of things that newspapers can not provide in only some pages",1
"the number of people reading newspapers may continue falling sharply, possibly leading to the close-downs of many in the coming time",0
"from the economic aspect, buying newspapers appears to be a waste of money when the internet becomes available for every one",1
the internet service is being provided at a low cost or even free in many countries,1
"The answer, perhaps, is that hardly would rational people do so",1
newspapers' production will have to face environmentalists on its way to be alive,0
"when taking environment into consideration, people must conceive that the more newspapers are published, the more trees are cut down",1
This is simply the contributor to the deforestation which is happening all over the world today,1
a government is supposed to offer sufficient financial support for both,0
a government should spare effort on young children education as well as universities,0
both are crucial on the way to a brighter future,0
"if countries, especially the developing countries, are determined to take off, one of the key points governments should set on agenda is to educate more qualified future citizens through elementary education",0
"a lack of well-established primary education goes hand in hand with a high rate of illiteracy, and this interplay seriously compromises a country's future development",1
"elementary education, like the base of a architecture, is the fundamental requirement to be a qualified citizen in today's society",1
government should guarantee that all people have equal and convenient access to it,1
government's big budget on universities may attract more excellent intellectuals and researchers into the country and enjoy a higher reputation worldwide,0
Researches into humanities and art still need large amount of money,1
"for higher education, which represent the cutting edge of a country's academic achievements, act as the vanguard in economic and social advance",1
The high technology and new ideas applied into practice may not only lead a country to flourish but also elevate its status in the international community,1
Some may argue that universities can support themselve well by donation or invention,1
this argument is invalid,1
"Consideration and communication, in my personal opinion, are the most important quality",0
the most important quality of roommates is being considered,0
communication is also another essential particularity of a good roommate,0
Consideration is always important in relationship,1
roommate turns down the music or television volume at night time,1
Sometimes we will not know what we have done until we have a taste of our own medicine,1
"At all times, think about the other's feeling before doing any self-centered action would help to improve the roommate relationship tremendously",1
having a considered roommate is significantly imperative to our school life,0
It will not only prevent conflicts but also to have a friend or even a family member,1
communication is as well making a good roommate,1
"Through communication, bonded are build and we could have better understanding of each others",1
communication is very important,0
"People have different habit in daily life, such as tidy the blanket in the morning",1
One might think this is a piece of cake while other would consider it as immense project,1
If one requested to move out just because his roommate do not tidy up the blanket in the morning might be crying over split milk,1
it would clear up the misinterpretation,1
"governments spend more money on buses, trains, and subways investment",0
they help alleviate traffic congestion and decrease the amount of carbon released into the air,0
Such public vehicles are used to serve a large number of people in society,1
the policy that concentrates money on developing public transportation brings an advantageous impact on earth,0
"if there are more good buses, trains, or subways, people are inclined to use less private vehicles, which decreases the amount of carbon released",1
carbon emission cut is significantly essential for protecting the atmosphere,1
"the more cars and motorbikes are on roads, the more seriously the ozone layer is damaged",1
"If governments use more money to improve roads, there is a strong likelihood that more people drive their private cars work",1
"This is sure to lead to more carbon emitted into the atmosphere, which can cause skin cancer and destroy the natural environment",0
there are a great number of vehicles flowing on roads,1
It is quiet clear that traffic congestion is a serious problem in many big cities,1
governments have to turn people' attention on public vehicles to reduce cars and motorbikes,0
There is the possibility that improving roads and highways does not seem to reach the major cause of traffic congestion,1
the policy would play a pivotal part in relieving traffic jam,1
high-quality roads and highways make it easier to move around,0
public transportation systems even have more important advantages,0
They not only ease traffic jam but also protect the atmosphere,0
the physical education part should not be outweighed,0
"Physical exercises help to create healthy nation, assist to learning through direct observation and finally aid to financial development of a country",0
"the more attention is withdrawn to a problem of physical education, the more influence we can get on academic success of students",0
"if the entire nation, from their school ages begin going for sports and try doing that everyday, eventually it may help to build healthy nation",0
healthy body is basis for healthy soul,1
There is a direct linkage between people's health and the frequency of doing physical exercises,1
"The more we practice, the better we feel",1
"there is a fact that one can improve health conditions with everyday physical activity: gradually, step by step we change physical condition to better",1
"when we practice outdoors and indoors sports, many aspects are getting clearer",0
"when a person goes jogging everyday, eventually he can understand his own body through direct observation",1
the school basketball team gains more knowledge on how to succeed in some particular kind of throwing the ball into hoot practicing rather than learning theoretically,1
"almost all natural science discoveries were made by direct observation, which is a part of physical education",1
financial sustainability of a region mostly depends on how healthy the population is,0
the money invested into physical education program can save allocations into healthcare,1
the nation is comparatively healthy,1
physically healthy people can contribute more both into economical and social development,1
"the better a person feels, the better his brain works",1
putting physical activities in early steps of human development would finally lead to mentally healthy society,0
it ends up with financially competitive country,1
email can be count as one of the most beneficial results of modern technology,0
"Many years ago, peoples had to pay a great deal of money to post their letters, and their payements were related to the weight of their letters or boxes, and many accidents may cause problem that the post could not be delivered",1
"nowadays, all people can take advantage of internet to have their own email free, and send their emails to everyone in no time, besides they can be sure if their emails have been delivered or not",1
Another important aspect on technology is transferring money,1
"Today, students can apply for foreign universities much easier than before",1
"with the advent of internet and online paying systems, you can do many thing at your home easily",0
technology has helped us to have more comfortable life,0
"You can see its effects on transportation, communication, medicine and so forth",0
"Not only with the help of sending email, but also using credit cards to pay all necessary fees online",1
"But now, biomedical engineers can make artificial heart valves which works well and doctors can implant them easily",1
"In the past time doctors used pig heart's valve to implant, but the patient could not be alive more than 3 years after the replacement",1
one of their inventions was related to artificial heart valves which can be count as a turning point in heart surgeries,1
Biomedical engineers could make a significant effect on increasing life expectancy the world,1
Another technological innovations which help people around the world is related to medical equipments,0
technology makes children even more creative,0
technology may have some negative effects on children,0
technology may have negative effects on children,0
Technology has made life too easy for most children,1
"In comfortable conditions, children may be satisfied with the world around them and refuse to make a change",1
technology inspires children to create new things,1
technology widen children's knowledge,1
"when they come across a high-tech product like a cellphone, they will be obsessed with its mysterious functions and eager to know how it works",1
Children are curious about everything around them,1
"Bill Gates was attracted by the original huge computer, then he did everything he could to understand how it worked",1
"After he had figured out all the stuff, he then began to promote the computer",1
"In the end, he successfully invented a computer that was easy to use and lightweight",1
"instead of interfering children's creativity, technology actually encourages children to learn and to create",0
"In the past, children were only able to see things from one perspective",1
they will be able to learn about different cultures and different ways of thinking,1
"with highly advanced technology, children are able to get information from foreign countries and even communicate with foreign friends",1
Knowledge is the base of creativity,1
"The diverse knowledge that children gained from different parts of the world, inspires children and encourage them to create new things",0
They kept researching new technology and became successful at a very young age,0
"with the development of technology, increasingly more young people become obsessed with high-tech products",1
